Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,5.78,18.9168948020936,FY-1
GE.N,5440101010,6.019,-9.43717122176957,FY-1
MMM.N,5440101010,42.219,42.4246766739512,FY-1
TECK.N,5120108010,14.199,14.5107332032339,FY-1
WMT.N,5430102010,22.07,16.6563120515538,FY-1
CLB.N,5220304024,28.39,17.3072705099973,FY-1
BN.N,5510202010,9.72,10.3324628228895,FY-1
XOM.N,5010203010,14.13,14.1142736094951,FY-1
CU.TO,5910401010,8.839,6.43011174279553,FY-1
SAP.TO,5410202010,7.49,4.23198702602518,FY-1
IGM.TO,5510202010,16.969,17.1089520395711,FY-1
L.TO,5430102010,16.94,16.8452461684525,FY-1
WN.TO,5430102010,16.679,10.7947624847747,FY-1
MDLZ.OQ,5410202010,14.109,15.3992157143625,FY-1
TA.TO,5910102010,-29.28,-56.1951219512195,FY-1
CP.TO,5240503010,12.47,13.862156119374,FY-1
TRP.TO,5010303010,12.839,6.34593196042096,FY-1
IMO.TO,5010203010,12.05,11.4893518411234,FY-1
ENB.TO,5010303010,9.089,10.9016954235747,FY-1
HKLD.SI,6010101010,2.75,-0.993556959522228,FY-1
CNR.TO,5240503010,19.899,23.0781931831584,FY-1
SU.TO,5010201010,10.52,11.3830125326443,FY-1
HON.OQ,5440101010,30.48,30.6882994628717,FY-1
ADM.N,5410202010,13.8,12.7363043529439,FY-1
CSX.OQ,5240503011,26.3,28.4381933736979,FY-1
CPB.N,5410202010,26.55,23.3533857781891,FY-1
FLR.N,5220102010,9.5,-35.4070385726259,FY-1
PEG.N,5910401010,12.179,-4.26007494576293,FY-1
ROK.N,5210203010,43.43,36.3348451673444,FY-1
UNP.N,5240503011,43.31,41.9229409685401,FY-1
AES.N,5910101010,52.21,-17.9292381159106,FY-1
ATD.TO,5010203012,22.5,21.7990535572842,FY-1
APD.N,5110101015,16.59,16.8155090935665,FY-1
AB.N,5510202011,13.5,23.922454748168,FY-1
ABM.N,5220304010,15.6,8.12349252291365,FY-1
AEP.OQ,5910101010,11.029,11.5530522884618,FY-1
ARE.TO,5220102010,5.56,5.55828722590765,FY-1
ARCH.N,5010101010,73.74,69.7877979423771,FY-1
MERC.OQ,5130102013,26.41,26.4063731853031,FY-1
ACOx.TO,5910401010,9.4,,FY-1
ATO.N,5910201010,8.94,8.9332897763936,FY-1
BKH.N,5910401010,8.849,8.85275982199799,FY-1
BLX.TO,5910101023,1.71,1.70854271356784,FY-1
MTZ.N,5220102014,18.239,14.4804260754325,FY-1
CMS.N,5910401010,12.65,11.694530790557,FY-1
TFII.TO,5240503012,22.149,36.8095181054153,FY-1
CWT.N,5910301010,9.64,0.917130472648549,FY-1
CASY.OQ,5430102012,16.28,16.2831492000632,FY-1
CPSH.OQ,5210203010,17.55,32.9428510331528,FY-1
CPK.N,5910201011,11.349,11.3466760466689,FY-1
CTAS.OQ,5220304010,35.329,35.1520137883658,FY-1
CLH.N,5220301010,13.98,14.2357844926067,FY-1
CLF.N,5120102010,76.689,79.5151838039425,FY-1
CMC.N,5120102010,35.9,43.6210664829028,FY-1
CAG.N,5410202010,13.029,10.2448167478878,FY-1
ED.N,5910101010,7.86,6.92315605390392,FY-1
CXT.N,5210203010,23.03,25.9074140188028,FY-1
VVI.N,5220304026,,-200.966382033902,FY-1
D.N,5910101010,11.949,10.4720332961121,FY-1
DCI.N,5220301011,29.6,29.3177113156852,FY-1
DUK.N,5910101010,8.279,8.45547270077998,FY-1
DY.N,5220102023,5.98,6.18835406140197,FY-1
EMR.N,5210203010,30.92,31.9158393836124,FY-1
EMPa.TO,5430102010,15.929,15.9287499199077,FY-1
ETR.N,5910101010,10.519,9.91420363201936,FY-1
FMC.N,5110102010,29.65,26.3847127060022,FY-1
RUS.TO,5120102014,41.09,40.9086606720303,FY-1
ARG.TO,5120105012,,31.9222366970638,FY-1
FI.N,5220304027,11.839,4.21604879744635,FY-1
FLO.N,5410202012,18.899,14.8108587248067,FY-1
FTS.TO,5910101010,6.419,7.08713549612827,FY-1
FCX.N,5120105010,38.4,35.5965885567608,FY-1
GIS.N,5410202010,24.109,27.0556843620083,FY-1
NVRI.N,5220301012,7.879,3.15047028635593,FY-1
HE.N,5910101010,15.82,10.412263296609,FY-1
HCSG.OQ,5220304016,9.83,9.82984295999091,FY-1
HTLD.OQ,5240503012,10.919,10.9239401530622,FY-1
HSY.N,5410202010,59.81,59.2001612314816,FY-1
DINO.N,5010203011,4.61,10.1482409296915,FY-1
HRL.N,5410202016,14.11,13.5663506843712,FY-1
HUBB.N,5210203010,20.55,16.9217172891762,FY-1
JBHT.OQ,5240503012,26.609,26.6111269870307,FY-1
GCARSOA1.MX,5440101010,11.39,11.4351661086687,FY-1
IDA.N,5910101010,,9.3929021715181,FY-1
ITW.N,5440101010,79.31,79.1654422568322,FY-1
IFF.N,5410202026,10.009,1.95669333866021,FY-1
WKC.N,5010203013,,3.85661957090529,FY-1
EME.N,5220102010,17.45,,FY-1
J.N,5220304010,14.05,6.97045948481565,FY-1
K.N,5410202010,41.859,43.559718969555,FY-1
KR.N,5430102010,29.53,17.2272440613832,FY-1
SR.N,5910201010,7.9,8.24003044444889,FY-1
MDU.N,5910401010,11.26,11.6908767422488,FY-1
MGEE.OQ,5910101010,10.6,10.5577927873068,FY-1
MRTN.OQ,5240503012,13.429,13.4319698744507,FY-1
MKC.N,5410202010,19.76,18.1190102073863,FY-1
MGRC.OQ,5220304018,12.679,12.6825130334894,FY-1
MRU.TO,5430102010,14.179,13.0125188397773,FY-1
NI.N,5910401010,9.0,10.3144164314222,FY-1
NFG.N,5910201010,28.02,29.2812243443137,FY-1
NEN.A,6010101010,12.11,-69.0264357846209,FY-1
NJR.N,5910201011,11.949,7.19992133769885,FY-1
AGR.N,5910101010,4.549,4.1242525885956,FY-1
NSC.N,5240503011,21.14,21.1240855374226,FY-1
ES.N,5910101010,13.939,8.51627213928838,FY-1
XEL.OQ,5910101010,10.58,10.5807135521913,FY-1
NTRS.OQ,5510202010,12.58,13.5908786294238,FY-1
NWN.N,5910201011,8.63,8.62623013917042,FY-1
NWE.OQ,5910401010,8.259,8.45657924037433,FY-1
NUE.N,5120102010,55.299,54.7884314220804,FY-1
MX.TO,5110101010,32.48,34.0567011546679,FY-1
OLN.N,5110101010,64.37,63.2074092127711,FY-1
PPG.N,5110101012,27.039,23.7160751565762,FY-1
PCG.N,5910101010,10.189,-0.486038311255122,FY-1
PAAS.TO,5120101011,6.18,3.72283688057083,FY-1
PKI.TO,5010203010,4.99,4.98842890203137,FY-1
EXC.OQ,5910101010,8.25,4.4581802980083,FY-1
WTRG.N,5910301010,8.75,8.50999363924604,FY-1
PPC.OQ,5410202016,21.679,1.20602835217039,FY-1
TROW.OQ,5510202010,35.81,35.8930524755375,FY-1
PNM.N,5910101010,9.96,9.28762204501838,FY-1
