Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2401918047.07934,19.3707311611242,1.29837641743543,1.39078374859508,1.60584445211043,7.44,3484376166.83462,,,,,,,,,1158129904.09765,-4.0,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,12.720910168474,,Austria,,,FY-3
XL.V,3199410.0,0.114129194247889,,,,,837780.263360542,,,,,,,,,29749660.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-3
ERF.TO,945894000.0,7.12305559833667,0.68393,0.90445,1.22181,,1579492710.80394,,,,,,,,,467143808.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,24.28755,,Canada,,,FY-3
WFRD.OQ,5215000000.0,,-1.49836,-0.797,,117.33,36710964.9181889,,,,,,,,,2164000000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,16.4794,,United States of America,,,FY-3
EOG.N,17256360000.0,76.45965746,4.83856,5.59364,7.92121,14.109,48728560597.2,,,,,,,,,5175443000.0,5.08025,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,21.51151,,United States of America,,,FY-3
1313.TW,2096858537.56394,0.371125748102578,0.007221638655462,,,,494468502.380554,,,,,,,,,612138386.438865,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,20.57891,,Taiwan,,,FY-3
EPGRQ.PK,,0.0001,,,,-87.26,1570.8591,,,,,,,,,46465650.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,,,United States of America,,,FY-3
CAMB.BR,215829652.713943,32.4711678423469,,,,,48763536.0850167,,,,,,,,,5156603.81588682,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.10033,,Belgium,,,FY-3
EQT.N,3799850000.0,10.9,-0.27341,-1.04694,-0.96632,2.049,2786513877.5,,,,,,,,,5292979000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.020485,,United States of America,,,FY-3
RECT.BR,984822769.76885,9.3155168934825,0.707415406767459,0.763105720773108,,7.19,516055778.860166,,,,,,,,,243148442.929848,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,19.38025,,Belgium,,,FY-3
NEU.N,2190295000.0,486.52,,,,,5443452859.48,,,,,,,,,657079000.0,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,21.20364,,United States of America,,,FY-3
FLOB.BR,459978028.383741,235.185974037621,,,,,213448204.829271,,,,,,,,,133006748.424994,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,30.74400391804,,Belgium,,,FY-3
SOAC.BR,41477030.6930027,133.399098715333,,,,,2851410137.2105,,,,,,,,,208954554.62637,11.0,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.38025,,Belgium,,,FY-3
