,Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
0,BRKa.N,5440101010,6.29,-4.66379645989664,FY0
1,GE.N,5440101010,7.389,1.57850636538098,FY0
2,MMM.N,5440101010,38.38,38.8134909970438,FY0
3,TECK.N,5120108010,20.1,16.8695078179793,FY0
4,WMT.N,5430102010,21.5,14.6049291635927,FY0
5,CLB.N,5220304024,14.38,11.4191959660353,FY0
7,XOM.N,5010203010,32.509,30.6413732791385,FY0
9,SAP.TO,5410202010,11.07,9.11689263466471,FY0
10,IGM.TO,5510202010,9.2,13.8641660424618,FY0
11,L.TO,5430102010,19.789,17.024881833586,FY0
12,WN.TO,5430102010,20.75,29.228998849252,FY0
13,MDLZ.OQ,5410202010,14.839,9.85277052509428,FY0
15,CP.TO,5240503010,9.24,9.67338238327718,FY0
16,TRP.TO,5010303010,12.72,2.0922072623419,FY0
17,IMO.TO,5010203010,32.31,33.251789435535,FY0
18,ENB.TO,5010303010,9.429,4.87809473565211,FY0
19,HKLD.SI,6010101010,2.29,0.597167065367256,FY0
20,CNR.TO,5240503010,23.269,23.1961566352429,FY0
21,SU.TO,5010201010,30.44,23.8928153090904,FY0
22,HON.OQ,5440101010,32.75,28.1631032722736,FY0
23,ADM.N,5410202010,18.879,18.5624772780736,FY0
24,CSX.OQ,5240503011,31.609,31.9172572304156,FY0
25,CPB.N,5410202010,25.809,24.5423340961098,FY0
26,FLR.N,5220102010,8.869,6.66876376218937,FY0
28,ROK.N,5210203010,44.75,43.9464308436188,FY0
29,UNP.N,5240503011,53.689,53.1682115180064,FY0
31,ATD.TO,5010203012,25.21,24.7251230896605,FY0
32,APD.N,5110101015,18.3,16.7010842447618,FY0
33,AB.N,5510202011,16.22,14.8412816774197,FY0
34,ABM.N,5220304010,15.019,13.8528138528139,FY0
36,ARE.TO,5220102010,3.25,3.25354834460561,FY0
37,ARCH.N,5010101010,105.159,129.880367670092,FY0
38,MERC.OQ,5130102013,32.229,32.2335217457111,FY0
40,ATO.N,5910201010,8.73,8.72702682787923,FY0
42,BLX.TO,5910101023,5.91,2.23713646532438,FY0
43,MTZ.N,5220102014,17.131,1.26409428747173,FY0
45,TFII.TO,5240503012,31.25,34.4922985068373,FY0
46,CWT.N,5910301010,7.7,7.6957050061238,FY0
47,CASY.OQ,5430102012,18.23,18.2266912359961,FY0
48,CPSH.OQ,5210203010,17.55,14.7645661634091,FY0
49,CPK.N,5910201011,11.179,11.1760865899034,FY0
50,CTAS.OQ,5220304010,37.59,37.4376166137446,FY0
51,CLH.N,5220301010,22.67,23.9650149336085,FY0
52,CLF.N,5120102010,19.329,20.0587305172803,FY0
53,CMC.N,5120102010,23.679,23.2145774240017,FY0
54,CAG.N,5410202010,15.07,7.8016491198037,FY0
55,ED.N,5910101010,7.96,8.15244082113741,FY0
56,CXT.N,5210203010,24.079,30.663965444746,FY0
57,VVI.N,5220304026,32.89,105.112435133577,FY0
58,D.N,5910101010,12.339,3.45582395443891,FY0
59,DCI.N,5220301011,30.58,29.2432454460247,FY0
61,DY.N,5220102023,17.48,17.4784105440979,FY0
62,EMR.N,5210203010,16.49,13.821530930989,FY0
63,EMPa.TO,5430102010,14.269,13.4616705422934,FY0
65,FMC.N,5110102010,29.089,25.5913383162622,FY0
66,RUS.TO,5120102014,26.489,26.4923778315999,FY0
67,ARG.TO,5120105012,3.399,3.39733432752353,FY0
68,FI.N,5220304027,13.609,8.19035286500486,FY0
69,FLO.N,5410202012,18.989,16.0020234263446,FY0
71,FCX.N,5120105010,23.989,23.4366006433046,FY0
72,GIS.N,5410202010,16.13,24.7132240853659,FY0
73,NVRI.N,5220301012,1.209,-20.8188815742538,FY0
75,HCSG.OQ,5220304016,7.879,7.88076222422737,FY0
76,HTLD.OQ,5240503012,10.59,16.8818112713489,FY0
77,HSY.N,5410202010,58.119,54.3133117255674,FY0
78,DINO.N,5010203011,40.38,38.7524930182096,FY0
79,HRL.N,5410202016,13.8,13.7851607156963,FY0
80,HUBB.N,5210203010,25.07,22.2144770949964,FY0
81,JBHT.OQ,5240503012,28.58,28.5751049732747,FY0
82,GCARSOA1.MX,5440101010,17.15,16.8762242063803,FY0
84,ITW.N,5440101010,90.39,90.3917771488157,FY0
85,IFF.N,5410202026,7.299,-9.64452590546506,FY0
86,WKC.N,5010203013,4.34,5.85503527902502,FY0
87,EME.N,5220102010,29.6,19.2202700630576,FY0
88,J.N,5220304010,14.949,10.7344298966917,FY0
89,K.N,5410202010,37.8,25.0620023495627,FY0
90,KR.N,5430102010,31.89,22.8172771109059,FY0
91,SR.N,5910201010,8.0,7.70783350470315,FY0
92,MDU.N,5910401010,10.55,10.5387616045502,FY0
94,MRTN.OQ,5240503012,16.28,16.2812519364176,FY0
95,MKC.N,5410202010,15.039,15.0030248033878,FY0
96,MGRC.OQ,5220304018,14.99,14.9922589432318,FY0
97,MRU.TO,5430102010,15.019,15.13982858038,FY0
98,NI.N,5910401010,5.86,13.106205762181,FY0
99,NFG.N,5910201010,18.91,18.9109768420184,FY0
100,NEN.A,6010101010,12.11,,FY0
101,NJR.N,5910201011,13.94,15.9464187522766,FY0
102,AGR.N,5910101010,4.689,4.58185978780944,FY0
103,NSC.N,5240503011,24.8,24.7819822552514,FY0
104,ES.N,5910101010,9.349,9.34309783905178,FY0
106,NTRS.OQ,5510202010,12.7,11.9256968823379,FY0
107,NWN.N,5910201011,8.179,8.17810400613668,FY0
108,NWE.OQ,5910401010,7.15,7.31315895475151,FY0
109,NUE.N,5120102010,46.909,46.7216281368094,FY0
110,MX.TO,5110101010,18.07,18.6442736555512,FY0
111,OLN.N,5110101010,51.42,51.075868971092,FY0
112,PPG.N,5110101012,22.3,15.9652119894394,FY0
113,PCG.N,5910101010,10.699,8.2203041512536,FY0
114,PAAS.TO,5120101011,0.74,-14.1597540352428,FY0
115,PKI.TO,5010203010,12.38,12.382664270022,FY0
117,WTRG.N,5910301010,8.81,8.65023846232795,FY0
118,PPC.OQ,5410202016,29.66,27.5357915824857,FY0
119,TROW.OQ,5510202010,21.02,17.0393344604808,FY0
120,PNM.N,5910101010,10.56,7.77757591772918,FY0
121,KWR.N,5110101010,8.23,-1.18857336677157,FY0
122,RPM.N,5110101012,47.07,23.1144269267904,FY0
123,RRX.N,5210203010,11.349,7.66409054568826,FY0
124,ROL.N,5220304020,31.379,30.9953607740284,FY0
125,R.N,5240503010,29.089,29.9218161775194,FY0
126,EIX.N,5910101010,11.199,4.44218625244973,FY0
127,SEIC.OQ,5510202014,94.83,24.9288848307825,FY0
128,SJW.N,5910301011,7.139,6.88248786815619,FY0
129,ATRL.TO,5220102010,3.859,0.569582026401017,FY0
130,FSZ.TO,5510202010,32.2,6.7039682266863,FY0
131,SVT.A,5210203010,12.82,-6.00746321599342,FY0
132,SHW.N,5110101012,82.4,72.9370137020923,FY0
133,CPLE6.SA,5910101010,5.21,5.21403331352451,FY0
134,AOS.N,5210203015,27.3,13.1679655856309,FY0
135,SJM.N,5410202010,12.32,-1.18172217867069,FY0
138,SWX.N,5910201011,6.54,-6.76215647228918,FY0
139,SYY.N,5430102010,120.569,104.404930634566,FY0
140,TRNS.OQ,5220304010,11.5,11.5044724067038,FY0
141,TSN.N,5410202016,2.53,-3.42539976212502,FY0
142,X.N,5120102010,28.52,26.2533804867901,FY0
143,WM.N,5220301010,33.219,32.0332068990195,FY0
144,UNF.N,5220304010,6.719,5.28971784752965,FY0
145,UTL.N,5910401010,9.04,9.04226274980889,FY0
146,URB.TO,5510202011,4.81,6.19478639114614,FY0
147,VICR.OQ,5210203010,5.73,5.73310187036647,FY0
148,LNT.OQ,5910101010,11.32,11.1853905103538,FY0
150,WSO.N,5210203015,30.94,30.9382882432963,FY0
151,WERN.OQ,5240503012,17.26,17.4117570642162,FY0
152,WMB.N,5010303010,17.859,17.9175059112006,FY0
153,WEC.N,5910101010,12.619,12.6343085046725,FY0
154,WOR.N,5120102013,18.219,16.1502762403113,FY0
