Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EQNR.OL,88744000000.0,26.7998136850596,3.58428,2.65613,2.50751,27.559,87305423591.7089,3245576603,147120000000.0,770000000.0,108096000000.0,23.8351045194441,36239000000.0,39010000000.0,75263000000.0,36239000000.0,,23.4979350465815,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,10432000000.0,63.430897764308,33800000000.0,Norway,33800000000.0,8040000000.0,FY-1
BP.L,157739000000.0,4.47135222891159,0.7675,0.7591,0.73366,17.469,88268433641.6762,19640625000,287272000000.0,1821000000.0,196833000000.0,56.8821896072987,69787000000.0,75442000000.0,160226000000.0,69787000000.0,,10.3099248192048,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,14805000000.0,21.14241,19858000000.0,United Kingdom,19858000000.0,10887000000.0,FY-1
SHEL.L,261504000000.0,21.9414191977271,3.39029,3.72824,4.0434,11.789,168671868083.961,7684132453,404379000000.0,3156000000.0,229053000000.0,31.1079050793493,89086000000.0,171966000000.0,264412000000.0,89086000000.0,68.1,12.2838216062284,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,27157000000.0,33.369815,26301000000.0,United Kingdom,26301000000.0,19000000000.0,FY-1
OILI.NS,3953971863.49659,2.67098177716304,0.762087604367373,0.724338214515093,,20.73,2896426512.23494,1084405194,8012798182.90572,98677242.1974132,3641840598.46063,27.487934993943,2262244174.67926,4026527837.43119,6633201759.12434,2202927745.73328,,20.7331850344645,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,244991773.731509,25.12147229348,1289947862.04228,India,1289947862.04228,801383657.651444,FY-1
AKSOA.OL,3346656522.87463,2.65612396759938,0.131323484393247,0.180521321103414,0.248036825814352,2.66,1307256801.15651,485631495,3277958826.80232,43427058.2223156,2385342977.50576,38.1889763779527,806999216.505615,889436451.792385,1699615065.80217,806999216.505615,74.3,3.23505062726867,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services,50,5010,501030,50103020,5010302011,126439102.491782,38.2296476856065,90230482.9015942,Norway,90230482.9015942,42146367.4972608,FY-1
ENB.TO,37257400664.8726,39.1087541554535,2.46187185929648,2.55232412060302,2.58358279876455,9.089,79232869536.2117,2026000000,133658382143.423,2160244321.77989,83501662181.4152,117.22833562586,59896311540.2881,42012822542.3461,110053031502.295,59896311540.2881,10.396,10.9016954235747,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,3070786904.39935,20.364000259456,6104066796.19298,Canada,6104066796.19298,6458388362.08522,FY-1
OPAL.OQ,166124000.0,9.98,0.27,1.27,1.73,,388175902.38,25671390,380844000.0,,379642000.0,0.0,229103000.0,14000.0,324060000.0,229103000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,9847000.0,22.0291,11026000.0,United States of America,11026000.0,89646000.0,FY-1
ENI.MI,87050678671.3048,13.8366773857512,1.96324053842932,1.69652783281068,1.59223828553962,11.53,49889452695.5025,3539756675,156611645408.453,1032613382.29271,106002319077.826,51.9154784401306,37663415410.4995,44832094218.2207,88272741741.1273,37663415410.4995,10.3,15.7639603531387,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,8493925198.44671,28.47653,15354357749.7614,Italy,15354357749.7614,6193314627.35928,FY-1
TTEF.PA,184634000000.0,50.7355114476048,7.8173,7.44496,7.21675,16.769,133963532448.071,2606588225,293458000000.0,1770000000.0,178459000000.0,52.3802731893293,63049000000.0,111736000000.0,178048000000.0,63049000000.0,66.27,14.5415386329246,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,13587000000.0,36.237316806664,27016000000.0,France,27016000000.0,12343000000.0,FY-1
NESTE.HE,17220289657.3676,49.0964264685901,2.05095301215833,2.65496160526556,2.78934317579303,18.269,37765514147.9233,767969396,14115681058.5908,55593160.3296192,6175113111.88414,35.5731225296443,1997362617.3749,7936020735.28409,9937930564.08158,1997362617.37489,11.55,27.4445994111266,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,690774587.925481,13.44944,1640589646.32302,Finland,1640589646.32302,1155628034.93698,FY-1
CLMT.OQ,3148000000.0,13.2,-0.3124,1.47173,2.57,74.39,1038526658.4,78676262,2127900000.0,149500000.0,2513000000.0,,1505000000.0,-385100000.0,1119900000.0,1505000000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,107700000.0,22.0291,-81700000.0,United States of America,-81700000.0,82900000.0,FY-1
5019.T,54962691106.362,25.5258126195029,3.38518591945052,4.06460146737434,3.47803511064645,21.8,7603238977.62906,297303401,37820014795.3313,99839061.8520392,26012419858.6224,18.1142619982969,11218839388.4596,11606953805.688,23026434325.1685,11218839388.4596,,21.8099500903617,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,1018051973.87931,34.227243569944,3870382791.00598,Japan,3870382791.00598,957241637.821314,FY-1
5021.T,20059608745.6847,19.5376325395446,4.29369900279218,4.7026026340399,4.94713059433586,35.6,1657944162.03236,83761982,15932993588.6898,57033075.2187699,11132968929.8044,6.10267117863057,5604471477.8892,3749794509.28818,10404496136.7746,5604471477.8892,,35.5605283000511,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,480647533.158122,29.13904,2096228318.99441,Japan,2096228318.99441,404229270.236127,FY-1
SRS.MI,9817938749.06214,0.62366955025137,0.03455987432773,0.111021414467584,0.095539505763046,-17.23,593109742.289053,951000000,4205710160.74392,23366869.8364176,3303409271.76409,0.0,985787690.698679,902300888.979833,1888088579.67851,985787690.698679,,1.18283657745337,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,232652644.646662,29.566693943936,122577004.360818,Italy,122577004.360818,131526320.340688,FY-1
