Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
EVNV.VI,2401918047.07934,19.3707311611242,1.29837641743543,1.39078374859508,1.60584445211043,7.44,3484376166.83462,178068106.0,8923931996.51264,58077644.6756004,3963055797.73322,29.4312169312169,1158129904.09765,4681342632.95554,6119006102.87707,1158129904.09765,-4.0,7.44067025085196,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,304259194.824796,12.720910168474,285990110.480238,Austria,285990110.480238,441953960.162481,,FY-3
XL.V,3199410.0,0.114129194247889,,,,,837780.263360542,7252943.0,11545442.0,3653382.0,32774346.0,,29749660.0,-21228904.0,8520756.0,29749660.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,1567417.0,23.74702,-89809.0,Canada,-89809.0,600306.0,,FY-3
ERF.TO,945894000.0,7.12305559833667,0.68393,0.90445,1.22181,,1579492710.80394,221744000.0,1975821654.08902,25580000.0,842633605.42122,,467143847.22008,1133188048.6678,1600331895.88788,467143808.0,,-15.7199842767206,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,269046000.0,24.28755,236377000.0,Canada,236377000.0,472930000.0,B-,FY-3
WFRD.OQ,5215000000.0,,-1.49836,-0.797,,117.33,36710964.9181889,70000000.0,7293000000.0,,4377000000.0,0.0,2174000000.0,2880000000.0,5090000000.0,2164000000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010.0,481000000.0,16.4794,71000000.0,United States of America,71000000.0,284000000.0,B,FY-3
EOG.N,17256360000.0,76.45965746,4.83856,5.59364,7.92121,14.109,48728560597.2,581914196.0,37124608000.0,185129000.0,15483892000.0,23.005108029149,5175443000.0,21640716000.0,26816159000.0,5175443000.0,5.08025,13.3394288644109,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,3749704000.0,21.51151,3913019000.0,United States of America,3913019000.0,6422526000.0,C+,FY-3
1313.TW,2096858537.56394,0.371125748102578,0.007221638655462,,,,494468502.380554,1332348000.0,1509812999.43161,13108008.2296282,822002775.084423,,612138386.438865,687810224.347187,1299948610.78605,612138386.438865,,-0.695864615725972,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,57210813.1127158,20.57891,-11469486.9618726,Taiwan,-11469486.9618726,53447515.209379,,FY-3
EPGRQ.PK,,0.0001,,,,-87.26,1570.8591,9652025.0,185866000.0,709000.0,157191000.0,,60717000.0,18521000.0,89394000.0,46465650.0,,-57.8501149425287,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,492000.0,,-11411000.0,United States of America,-11411000.0,13421000.0,,FY-3
CAMB.BR,215829652.713943,32.4711678423469,,,,,48763536.0850167,1500000.0,64732192.9018228,386159.032834994,24946752.4605968,23.3936369307548,5156603.81588682,39785440.4412259,44942044.2571128,5156603.81588682,,24.65395262996,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,3620940.49629335,24.10033,11087801.0993143,Belgium,11087801.0993143,6234509.60258236,,FY-3
EQT.N,3799850000.0,10.9,-0.27341,-1.04694,-0.96632,2.049,2786513877.5,255171000.0,18809227000.0,199851000.0,9005639000.0,,5292979000.0,9803588000.0,15096567000.0,5292979000.0,,-11.7686713065624,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,1574661000.0,22.05976,58423000.0,United States of America,58423000.0,1602454000.0,C,FY-3
RECT.BR,984822769.76885,9.3155168934825,0.707415406767459,0.763105720773108,,7.19,516055778.860166,55070639.0,899568414.680627,5988263.26280352,590848149.22763,55.2179790680289,243148442.929848,307934443.871489,551868708.382844,243148442.929848,,8.92316472537124,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,61993635.3408665,19.38025,34570747.5018597,Belgium,34570747.5018597,61551511.2308091,C+,FY-3
