Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
BRKa.N,302089000000.0,468710.96,22196.07246,24413.41772,22735.81,6.29,681920932605.96,1459733.0,948452000000.0,4352000000.0,467835000000.0,,122744000000.0,472360000000.0,603361000000.0,122744000000.0,,-4.66379645989664,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,54,5440,544010,54401010,5440101010,10899000000.0,19.992116327056,39812000000.0,United States of America,39812000000.0,15464000000.0,D+,FY0
GE.N,76556000000.0,65.3846886,2.1076,3.62043,4.59075,7.389,91554663450.6,1089107878.0,188851000000.0,55000000.0,153939000000.0,109.931506849315,24059000000.0,33690000000.0,58971000000.0,24059000000.0,44.5,1.57850636538098,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,54,5440,544010,54401010,5440101010,3544000000.0,22.05976,3251000000.0,United States of America,3251000000.0,1484000000.0,B,FY0
MMM.N,34229000000.0,119.92,9.54132,10.37363,11.24768,38.38,66284930366.8,549245105.0,46455000000.0,462000000.0,31685000000.0,58.3174658127056,16025000000.0,14722000000.0,30795000000.0,16025000000.0,-0.285,38.8134909970438,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,54,5440,544010,54401010,5440101010,1831000000.0,19.67623,7405000000.0,United States of America,7405000000.0,1749000000.0,C+,FY0
TECK.N,12780278987.3791,37.43760198,4.93638176848637,4.57922730294748,3.95225677772032,20.1,19377713456.8848,513719000.0,38644180382.316,10765412.4179345,19077422688.0213,13.0105160185865,7393165547.27286,18800649494.4276,26959923241.5676,7393165547.27286,3.862,16.8695078179793,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010,1431030893.55543,32.38055,5632617568.6693,Canada,5632617568.6693,3401101366.03745,B-,FY0
WMT.N,611289000000.0,141.79,6.18194,6.85203,7.62055,21.5,382379279656.66,2693000000.0,243197000000.0,2128000000.0,159443000000.0,52.3458904109589,44622000000.0,76693000000.0,128613000000.0,44622000000.0,3.671,14.6049291635927,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Food Retail & Distribution (NEC),54,5430,543010,54301020,5430102010,10945000000.0,33.34954,24528000000.0,United States of America,24528000000.0,16857000000.0,C+,FY0
CLB.N,489735000.0,20.27,0.96061,1.273,1.29,14.38,939946433.43,46631934.0,578354000.0,11570000.0,389400000.0,9.52552305556983,172386000.0,184258000.0,361340000.0,172386000.0,,11.4191959660353,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Testing Laboratories,52,5220,522030,52203040,5220304024,17161000.0,22.05976,43308000.0,United States of America,43308000.0,10245000.0,B+,FY0
XOM.N,398675000000.0,110.3,10.67151,10.58033,9.6989,32.509,454215400000.0,4082000000.0,369067000000.0,798000000.0,166594000000.0,26.8156524860887,41324000000.0,195049000000.0,243797000000.0,41324000000.0,26.963,30.6413732791385,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,19440000000.0,28.006675,71688000000.0,United States of America,71688000000.0,18407000000.0,C+,FY0
SAP.TO,13202367739.5487,24.739833198022,1.51722717399446,1.82700921279305,1.62356744049368,11.07,10368420699.6235,421604856.0,10673325934.1472,75663509.7372276,5390307066.22272,48.3922829581994,2989271180.17018,5283018867.92453,8272290048.09471,2989271180.17018,,9.11689263466471,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing,Food Processing (NEC),54,5410,541020,54102020,5410202010,441874896.865409,25.82405,779334150.293444,Canada,779334150.293444,485003097.415629,B+,FY0
IGM.TO,2550267916.4514,27.8987379142372,2.75375065050926,2.94140212623597,2.72295592817926,9.2,6630638972.32268,237668062.0,13829447191.6747,87482817.1402551,9307023396.56063,61.8129384579196,5095011439.95867,4473212045.16938,9617435235.0727,5095011439.95867,-1.3,13.8641660424618,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Investment Management & Fund Operators (NEC),55,5510,551020,55102020,5510202010,79967021.3564771,22.29543,788911721.769105,Canada,788911721.769105,111328974.60401,B+,FY0
L.TO,41703446748.8376,88.3607646320762,5.57645235107404,6.15943013213258,6.92476563076696,19.789,28692351534.5781,322840330.0,28154845376.0425,546729159.225102,19699608827.2197,27.0822420115244,12994316923.7582,8173296922.28209,21449553472.581,12994316923.7582,,17.024881833586,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Food Retail & Distribution (NEC),54,5430,543010,54301020,5430102010,2149237693.43764,25.210351576945,2507572135.34888,Canada,2507572135.34888,1208033064.89822,B+,FY0
