Firm Name,WACC,COE,COD,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-1).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-1).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,Unnamed: 0,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentCode
BRKa.N,0.0463158399322907,0.0856262340545654,0.0354559082317669,Reconciliation,,0,,,,7.0,,,,,,,,,,,
GE.N,0.0230837982430593,0.128125,0.0022860468016127,Renewable Energy,"335311, 333611",0,,,,5.0,,,,,,,,,,,
MMM.N,0.0302857934807878,0.0703593749999999,0.0288299531981279,Corporate and Unallocated,,0,,,,6.0,,,,,,,,,,,
TECK.N,0.0568587921100066,0.116484375,0.001456130306984,Corporate,,0,,,,4.0,,,,,,,,,,,
WMT.N,0.0273782616454715,0.0683242187499999,0.0476894805253014,Walmart International,"458110, 455211, 455110, 445110",0,,,,3.0,,,,,,,,,,,
CLB.N,0.0378236155200793,0.0697812499999999,0.06711681923126,Reservoir Description,213112,0,,,,3.0,,,,,,,,,,,
XOM.N,0.0532043640384063,0.0977265625,0.0193108121188655,Chemicals,"325211, 325110, 324110",0,,,,5.0,,,,,,,,,,,
SAP.TO,0.0358539346859262,0.0618124999999999,0.0253116914380849,,,0,,,,0.0,,,,,,,,,,,
IGM.TO,0.0427496602067385,0.11696875,0.0171702886580691,Wealth Management,"523940, 523150, 523999",0,,,,4.0,,,,,,,,,,,
L.TO,0.0386178807249064,0.0829999999999999,0.0420744824397416,Retail,"458110, 456110, 445110",0,,,,3.0,,,,,,,,,,,
WN.TO,0.0260522878264876,0.108515625,0.0409681027861235,Other,,0,,,,3.0,,,,,,,,,,,
MDLZ.OQ,0.0222875257420045,0.0468984374999999,0.0186630619631099,North America,"311351, 311821, 311513, 311340",0,,,,4.0,,,,,,,,,,,
CP.TO,0.0435543084379532,0.0687695312499999,0.0345678858577127,Rail Transportation,,0,,,,1.0,,,,,,,,,,,
