Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
000537.SZ,206812126.4868,1.3941269380782,,,,,714793391.298391,512717581.0,775921685.551043,,373214467.606292,0.0,,291708248.865358,402707217.944751,0.0,,16.8089902115342,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,75490.726736086,12.89769,52798727.7797705,China,52798727.7797705,42187.7254000234,,FY-8
000539.SZ,4637922494.60078,1.05298177481224,0.105447871723871,0.117036930639344,,14.94,5213750717.58408,5250304987.21995,11134452801.4699,277968046.622769,6653839711.50437,29.1296268901626,5266701333.68791,3437167080.2308,9747314423.65342,5266701332.88206,,14.8741411539669,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,590516894.333789,26.91141,1131380419.05339,China,1131380419.05339,1080743884.06507,,FY-8
000629.SZ,2704333552.52555,0.578602971988525,0.00161194126086,0.01391911278753,,-29.56,4970052681.10434,8589746202.0,8447534418.41054,94493081.4803769,6363189202.17581,,4875258642.77149,1832191331.43474,6959603859.00622,4875258643.58702,,-28.2434151695257,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016,177370220.275279,10.338940177392,189741136.493875,China,189741136.493875,589537761.288404,,FY-8
000883.SZ,1175399147.40676,1.03632788576218,0.057012542759407,,,,5543058445.27286,5348749678.0,5427234219.85462,137828125.115176,2900736892.98263,25.2584097992995,2527189161.26584,2337286595.22935,5053686488.13783,2527189162.87915,39.57,8.20500862337358,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,158689463.781758,20.760676161315,297525076.440864,China,297525076.440864,369505882.284885,,FY-8
002060.SZ,967419570.963479,0.597943461302904,,,,,718884736.353673,1202262058.0,2031977621.20362,48993816.5726025,1624375651.71002,24.4792875419581,1072367845.89337,402255567.159849,1479969815.38697,1072367846.43651,,3.96245274097707,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,37866056.3321312,18.97011,50666878.3774646,China,50666878.3774646,144173593.72553,,FY-8
002545.SZ,160193533.829739,0.822507209167392,,,,,642173145.730587,780757807.57808,647252006.084196,7369668.7887908,184551671.933727,24.2862638465042,129983782.390484,460030684.409954,592684116.540954,129983782.99971,,1.88668502485493,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,51,5110,511010,51101020,5110102011,5915651.09950424,19.61121,11494136.2013595,China,11494136.2013595,14217440.7749693,,FY-8
071320.KS,2167732449.51048,51.4228200201299,5.10550580564814,3.43145730925607,,4.373,595411668.771159,11578744.0,4338531665.96944,67351669.6385486,2844221597.21658,426.632402053731,1971222904.47616,1494310068.75286,3465532973.22902,1971222904.47433,,0.354234744068831,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,195363845.817484,23.67907,81323079.6162044,Korea; Republic (S. Korea),81323079.6162044,239683931.899832,,FY-8
1811.HK,1379552000.0,0.257938043282004,0.02247,0.0266,,11.446,1106766746.62746,4290824000.0,2486934000.0,63274000.0,1670844000.0,0.0,1397107000.0,709048000.0,2213197000.0,1389574000.0,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,96834000.0,21.2944828779225,149901000.0,Hong Kong,149901000.0,184492000.0,,FY-8
2083.SE,,,,,,,,,,,,,,,,,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,12.020784085013,,Saudi Arabia,,,,FY-8
2380.HK,3295482545.20839,0.47350321519771,0.061277004320691,0.061542646823492,0.064753888906634,13.989,3500354427.66772,7392469707.02519,13183088514.9728,395908792.416315,8791224252.9736,42.2963925483552,7341110305.25739,3523799922.63804,11732974567.2566,7341110305.25739,14.90333,13.7314475396499,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,460305029.542515,20.90695,1007447170.58133,Hong Kong,1007447170.58133,826323551.89412,C,FY-8
300569.SZ,154027247.526029,,,,,,,487673357.15941,185860654.956,1576070.23626531,108662102.912355,0.0,32750031.3976727,74919958.0682075,109948583.441318,32750030.6224414,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,2628084.72492507,14.27416,15780072.335165,China,15780072.335165,6680049.85339595,,FY-8
300772.SZ,,,,,,,,,,,,,,,,,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,,12.89769,,China,,,,FY-8
3038.T,1905859305.43188,2.53746023773648,,,,,714548802.946593,225477504.0,963107747.105966,4904767.4650361,761317898.486198,24.1838487972509,502172751.558326,168343722.172752,703962600.178095,502172751.558326,,13.0515938249815,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Supermarkets & Convenience Stores,54,5430,543010,54301020,5430102012,35380239.6193315,33.83299,50104235.2307739,Japan,50104235.2307739,63316089.0941024,,FY-8
