Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
000537.SZ,497275401.612248,1.91816969204895,,,,4.23,3572630795.91718,,,,,,,,,2474795028.41733,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,,12.91442,,China,,,D+,FY0
000539.SZ,7571296082.46825,0.804674360610102,0.040661032209346,0.063895907757544,,-13.83,3797004975.64305,,,,,,,,,11679915831.0619,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,,26.91141,,China,,,,FY0
000629.SZ,2187488599.72163,0.685785536159601,0.027335328471395,0.029972106807682,0.040677572130052,16.339,5899434346.75811,,,,,,,,,46890152.5256626,,,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016,,10.349001171104,,China,,,C+,FY0
000883.SZ,2983560684.0457,0.608942759380618,,,,3.81,4000128536.39157,,,,,,,,,4747074496.89729,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,,20.76349793513,,China,,,C,FY0
002060.SZ,2450832378.35643,0.997506234413965,,,,9.939,1199263898.25436,,,,,,,,,3917015130.77771,,,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,,18.97011,,China,,,,FY0
002545.SZ,524286430.725512,1.20193701792032,0.139827546026567,0.173327895595432,,10.06,1495284270.14875,,,,,,,,,343505364.495737,,,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,51,5110,511010,51101020,5110102011,,19.61121,,China,,,,FY0
071320.KS,3309509831.25813,22.6037990244676,-13.7614695452716,0.248556646685888,,-10.551,261723602.33176,,,,,,,,,2839333679.40869,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,,23.67907,,Korea; Republic (S. Korea),,,,FY0
1811.HK,2430056000.0,0.34573276138037,,,,14.264,1483478430.11716,,,,,,,,,5930265000.0,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,,21.269444291139,,Hong Kong,,,,FY0
2083.SE,1731459409.10301,12.4783823333777,0.858003144235125,0.900636840843082,0.943270537451038,10.71,3119595583.34441,,,,,,,,,3073233164.75912,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,12.046018243771,,Saudi Arabia,,,,FY0
2380.HK,6334328278.14185,0.422562263909341,0.042327729273396,0.060318926329461,,7.44,5227159004.27684,,,,,,,,,16906348083.2802,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,,20.90695,,Hong Kong,,,B-,FY0
300569.SZ,606444045.409731,1.16714028881285,,,,,944555605.093371,,,,,,,,,819546241.953256,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,,14.27416,,China,,,,FY0
300772.SZ,2520427021.11002,2.15594734094995,0.160744673114683,0.203671005745037,0.255981383172133,16.12,1513643962.60076,,,,,,,,,1388181782.46245,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,,12.91442,,China,,,,FY0
3038.T,2735612937.93289,28.907024635802,0.707855571531272,0.832841840402588,0.85801393728223,24.3,7908961940.35542,,,,,,,,,232257413.758322,9.428,,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Supermarkets & Convenience Stores,54,5430,543010,54301020,5430102012,,33.83299,,Japan,,,D+,FY0
5110.SE,19185367048.1767,6.1460689104696,,,,23.8,25608172708.9264,,,,,,,,,26599482033.5374,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,4.25314863352,,Saudi Arabia,,,C+,FY0
5711.T,12244393403.1177,15.8950499580505,1.74637409318675,1.99978824850299,2.32258390718563,3.5,2090032727.78582,,,,,,,,,4249160328.33798,,,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010,,29.12491,,Japan,,,B,FY0
600011.SS,34273985866.7285,1.10334628544917,0.079641958444173,0.098106262132432,,-6.452,14355220334.1283,,,,,,,,,44970215275.7641,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,,31.524479395274,,China,,,C+,FY0
600025.SS,3065261020.41408,0.956910050455257,0.061443702843877,0.06539901334881,0.068195008705746,10.3,17224380908.1946,,,,,,,,,13552353505.7705,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,,11.95637,,China,,,C-,FY0
600116.SS,1599474543.29293,1.24253320187902,0.078413150175704,0.100194580780066,,4.339,2375901044.95737,,,,,,,,,1171686152.35168,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,14.31353,,China,,,,FY0
600236.SS,1532079019.02221,0.835121498579133,,,,19.64,6582743162.37313,,,,,,,,,3004782173.92565,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,15.76643,,China,,,C+,FY0
600409.SS,3433251335.32448,0.958359914168068,,,,7.58,1978389759.79817,,,,,,,,,1250780903.84504,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,19.79691,,China,,,C-,FY0
600459.SS,5909449391.05724,2.28208548396451,0.104757747708424,0.133857122071875,0.161501527717154,,1736821299.45485,,,,,,,,,644920779.446732,,,Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Non-Gold Precious Metals & Minerals (NEC),51,5120,512010,51201010,5120101010,,14.41254,,China,,,,FY0
600674.SS,188941473.351505,1.77318332076785,0.128416666666667,0.131281609195402,,10.8,7886608439.63057,,,,,,,,,2553257893.05805,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,1.16181,,China,,,C+,FY0
600795.SS,27489334657.5422,0.619091805370295,0.0602530735495,0.071245955855921,,6.219,11041885617.3722,,,,,,,,,34095390274.3142,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,32.81628,,China,,,C+,FY0
600886.SS,7261725052.19509,1.57020240097431,0.121989581826074,0.133683982057589,0.142582838952395,7.7,11704571014.5435,,,,,,,,,20400365217.7695,27.749,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,,16.51138,,China,,,B-,FY0
600905.SS,3452441028.24335,0.819172997738213,0.04875488389237,0.055149281238481,,9.72,23444346183.9587,,,,,,,,,19262272952.7924,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,,7.56797,,China,,,B-,FY0
600995.SS,1187796085.36798,2.09070347387346,0.083589108910891,0.088741991846243,,15.08,6681900439.03323,,,,,,,,,1741163857.79737,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,13.698622506359,,China,,,,FY0
601088.SS,49952589456.5911,4.00452357478397,0.497823663987798,0.492108582155218,0.616375481196328,18.0,75171894044.8264,,,,,,,,,8316998202.169,10.695,,Energy,Energy - Fossil Fuels,Coal,Coal,Coal (NEC),50,5010,501010,50101010,5010101010,,22.8746,,China,,,A-,FY0
6013.T,1074260109.94804,9.4195713522996,0.920890579109873,0.950793885081708,,9.9,781824422.240866,,,,,,,,,2168838.01491076,,,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental Services & Equipment (NEC),52,5220,522030,52203010,5220301010,,29.40187,,Japan,,,,FY0
601778.SS,463446991.532796,0.797425042046048,0.047792839763643,,,1.69,2308047566.18627,,,,,,,,,2859139587.07881,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,,11.265491444432,,China,,,D+,FY0
601991.SS,16613009337.1223,0.404511975874268,0.037342908438061,0.043087971274686,,-1.427,6008090701.93497,,,,,,,,,27867200458.1569,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,,33.06358,,China,,,C+,FY0
603212.SS,596660146.146262,4.59606796961086,0.207026633677776,0.265801193421627,0.365617072078794,6.589,2023933848.69222,,,,,,,,,207939949.544743,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Photovoltaic Solar Systems & Equipment,50,5020,502010,50201010,5020101013,,12.6024,,China,,,,FY0
6504.T,7601829957.07508,38.3647319045077,3.29971106465582,3.56146102732567,3.74674040615201,12.4,5727739033.86469,,,,,,,,,1360275623.1644,7.1,,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components & Equipment (NEC),52,5210,521020,52102030,5210203010,,27.6398,,Japan,,,B+,FY0
6806.TW,140667560.584753,2.77659678843575,,,,,600161395.820387,,,,,,,,,220368839.323675,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010,,20.85758378736,,Taiwan,,,,FY0
