Instrument,Segment Name,Segment Code,year,number of segments
BRKa.N,Reconciliation,,-4,7
BRKa.N,Insurance Group,"524130, 524126",-4,7
BRKa.N,Service and Retailing,"449110, 611512",-4,7
BRKa.N,McLane Company,424410,-4,7
BRKa.N,BNSF,482111,-4,7
BRKa.N,Manufacturing businesses,333517,-4,7
BRKa.N,Berkshire Hathway Energy Company,"531210, 221122",-4,7
GE.N,Renewable Energy,"335311, 333611",-4,6
GE.N,Healthcare,"423450, 334510",-4,6
GE.N,Aviation,"336413, 336412",-4,6
GE.N,GE Capital,522291,-4,6
GE.N,Corporate items,,-4,6
GE.N,Power,"335311, 213112",-4,6
MMM.N,Corporate and Unallocated,,-4,7
MMM.N,Health Care,"339114, 339113, 339112",-4,7
MMM.N,Elimination of Dual Credit,,-4,7
MMM.N,Industrial,423860,-4,7
MMM.N,Electronics and Energy,334210,-4,7
MMM.N,Safety and Graphics,"339950, 339113",-4,7
MMM.N,Consumer,"322230, 339113",-4,7
TECK.N,Corporate,,-4,7
TECK.N,Steelmaking Coal,"212115, 212114",-4,7
TECK.N,Base and Other Metal,212230,-4,7
TECK.N,Copper,212230,-4,7
TECK.N,Energy,211120,-4,7
TECK.N,Smelting and Refining,212290,-4,7
TECK.N,Zinc,212230,-4,7
WMT.N,Walmart International,"458110, 455211, 455110, 445110",-4,4
WMT.N,Wal-Mart U.S.,"459999, 455110, 445110",-4,4
WMT.N,Sam's Club,"455211, 445110",-4,4
WMT.N,Other,,-4,4
CLB.N,Reservoir Description,213112,-4,3
CLB.N,Production Enhancement,"541330, 213112",-4,3
CLB.N,Corporate and Other,,-4,3
XOM.N,Chemicals,"325211, 325110, 324110",-4,4
XOM.N,Corporate and financing,,-4,4
XOM.N,Downstream,"211130, 325110",-4,4
XOM.N,Upstream,211120,-4,4
SAP.TO,Operating Segment-International,311511,-4,3
SAP.TO,Operating Segment-USA,311512,-4,3
SAP.TO,Operating Segment- Canada,311511,-4,3
IGM.TO,Mackenzie Investments,523940,-4,3
IGM.TO,Wealth Management,"523940, 523150, 523999",-4,3
IGM.TO,Corporate and Other,,-4,3
L.TO,Retail,"458110, 456110, 445110",-4,3
L.TO,Financial services,"517810, 524210, 522390, 522210",-4,3
L.TO,Elimination,,-4,3
WN.TO,Weston Foods,"311813, 311812",-4,4
WN.TO,Other,,-4,4
WN.TO,Loblaw,"456110, 522220, 445110",-4,4
WN.TO,Choice Properties,"531120, 531110",-4,4
MDLZ.OQ,North America,"311351, 311821, 311513, 311340",-4,4
MDLZ.OQ,Europe,"311351, 311821, 311513, 311340",-4,4
MDLZ.OQ,Latin America,"311351, 311821, 311513, 311340",-4,4
MDLZ.OQ,AMEA,"311351, 311821, 311513, 311340",-4,4
CP.TO,,,-4,0
TRP.TO,Power and Energy Solutions,"221210, 221112",-4,6
TRP.TO,Corporate,,-4,6
TRP.TO,Liquid Pipelines,"486210, 486110, 213112",-4,6
TRP.TO,Candaian Natural gas pipelines,"486210, 486110",-4,6
TRP.TO,Mexico Natural Gas pipelines,486110,-4,6
TRP.TO,U.S Natural gas pipelines,"486210, 486110",-4,6
IMO.TO,Chemicals,325110,-4,5
IMO.TO,Downstream,"486110, 324110",-4,5
IMO.TO,Upstream,211120,-4,5
IMO.TO,Corporated and Other,,-4,5
IMO.TO,Intersegment Elimination,,-4,5
ENB.TO,Liquids Pipelines,"486910, 486110",-4,6
ENB.TO,Gas Distribution,"486210, 221210",-4,6
ENB.TO,Gas Tranmission & midstream,"486910, 486210",-4,6
ENB.TO,Energy Services,"541614, 486210, 221210",-4,6
ENB.TO,Renewable power Generation and Transmission,"221118, 221115, 221121",-4,6
ENB.TO,Elimination and Others,,-4,6
HKLD.SI,Investment Property,"531312, 531120",-4,3
HKLD.SI,Development Property,"531311, 531110, 236220, 236117",-4,3
HKLD.SI,Corporate,,-4,3
CNR.TO,,,-4,0
SU.TO,Oil Sands,211120,-4,4
SU.TO,Corporate and Eliminations,,-4,4
SU.TO,Refining & Marketing,324110,-4,4
SU.TO,Exploration & production,"211130, 211120",-4,4
HON.OQ,Aerospace Systems,"513210, 336413, 336412",-4,4
HON.OQ,Performance Materials and Technologies,"325998, 325311, 325199",-4,4
HON.OQ,Safety and Productivity Solutions,"334513, 334511",-4,4
HON.OQ,Honeywell Building Technologies,517111,-4,4
ADM.N,Other,,-4,6
ADM.N,Oilseeds,"311224, 111191",-4,6
ADM.N,Eliminations,,-4,6
ADM.N,Carbohydrate Solutions,"325199, 311221, 311211",-4,6
ADM.N,Origination,311211,-4,6
ADM.N,Nutrition,"311224, 325613, 325199, 311942",-4,6
CSX.OQ,,,-4,0
CPB.N,Corporate,,-4,3
CPB.N,Snacks,"311352, 311919, 311821, 311412",-4,3
CPB.N,Meals and Beverages,"311824, 311422, 311421",-4,3
FLR.N,Government Services,"541618, 541330",-4,4
FLR.N,"Energy, Chemicals","541330, 213112",-4,4
FLR.N,"Industrial, Infrastructure & Power","541620, 541350, 541330, 236220",-4,4
FLR.N,Diversified Services,"561210, 541350, 541330",-4,4
ROK.N,Lifecycle Services,"513210, 334519",-4,3
ROK.N,Software & Control,513210,-4,3
ROK.N,Intelligent Devices,334290,-4,3
UNP.N,,,-4,0
ATD.TO,Road Transport Fuel,457110,-4,3
ATD.TO,Merchandise and Services,445131,-4,3
ATD.TO,Other,424720,-4,3
APD.N,Corporate and Other,,-4,5
APD.N,Industrial Gases- Americas,"333413, 325120",-4,5
APD.N,Industrial Gases- EMEA,"333413, 325120",-4,5
APD.N,Industrial Gases- Global,"333413, 325120",-4,5
APD.N,Industrial Gases- Asia,"333413, 325120",-4,5
AB.N,,,-4,0
ABM.N,Business & Industry,"812930, 811111, 561720, 541330",-4,7
ABM.N,Government Services,"921190, 541330",-4,7
ABM.N,Technical Solutions,541330,-4,7
ABM.N,Aviation,"812930, 561720, 488119",-4,7
ABM.N,Education,"812930, 561720, 541330",-4,7
ABM.N,Healthcare,"812930, 561720, 541330",-4,7
ABM.N,Technology & Manufacturing,,-4,7
ARE.TO,Other and eliminations,,-4,4
ARE.TO,Concessions,"561990, 561210",-4,4
