Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,number of segments
BRKa.N,Reconciliation,,-5,,,,7.0
BRKa.N,Insurance Group,"524130, 524126",-5,,,,7.0
BRKa.N,Service and Retailing,"449110, 611512",-5,,,,7.0
BRKa.N,McLane Company,424410,-5,,,,7.0
BRKa.N,BNSF,482111,-5,,,,7.0
BRKa.N,Manufacturing businesses,333517,-5,,,,7.0
BRKa.N,Berkshire Hathway Energy Company,"531210, 221122",-5,,,,7.0
GE.N,Renewable Energy,"335311, 333611",-5,,,,6.0
GE.N,Healthcare,"423450, 334510",-5,,,,6.0
GE.N,Aviation,"336413, 336412",-5,,,,6.0
GE.N,GE Capital,522291,-5,,,,6.0
GE.N,Corporate items,,-5,,,,6.0
GE.N,Power,"335311, 213112",-5,,,,6.0
MMM.N,Corporate and Unallocated,,-5,,,,7.0
MMM.N,Health Care,"339114, 339113, 339112",-5,,,,7.0
MMM.N,Elimination of Dual Credit,,-5,,,,7.0
MMM.N,Industrial,423860,-5,,,,7.0
MMM.N,Electronics and Energy,334210,-5,,,,7.0
MMM.N,Safety and Graphics,"339950, 339113",-5,,,,7.0
MMM.N,Consumer,"322230, 339113",-5,,,,7.0
TECK.N,Corporate,,-5,,,,7.0
TECK.N,Steelmaking Coal,"212115, 212114",-5,,,,7.0
TECK.N,Base and Other Metal,212230,-5,,,,7.0
TECK.N,Copper,212230,-5,,,,7.0
TECK.N,Energy,211120,-5,,,,7.0
TECK.N,Smelting and Refining,212290,-5,,,,7.0
TECK.N,Zinc,212230,-5,,,,7.0
WMT.N,Walmart International,"458110, 455211, 455110, 445110",-5,,,,4.0
WMT.N,Wal-Mart U.S.,"459999, 455110, 445110",-5,,,,4.0
WMT.N,Sam's Club,"455211, 445110",-5,,,,4.0
WMT.N,Other,,-5,,,,4.0
CLB.N,Reservoir Description,213112,-5,,,,3.0
CLB.N,Production Enhancement,"541330, 213112",-5,,,,3.0
CLB.N,Corporate and Other,,-5,,,,3.0
XOM.N,Chemicals,"325211, 325110, 324110",-5,,,,4.0
XOM.N,All Other,,-5,,,,4.0
XOM.N,Downstream,"211130, 325110",-5,,,,4.0
XOM.N,Upstream,211120,-5,,,,4.0
SAP.TO,Operating Segment-International,311511,-5,,,,3.0
SAP.TO,Operating Segment-USA,311512,-5,,,,3.0
SAP.TO,Operating Segment- Canada,311511,-5,,,,3.0
IGM.TO,Mackenzie Investments,523940,-5,,,,3.0
IGM.TO,Wealth Management,"523940, 523150, 523999",-5,,,,3.0
IGM.TO,Corporate and Other,,-5,,,,3.0
L.TO,Retail,"458110, 456110, 445110",-5,,,,3.0
L.TO,Financial services,"517810, 524210, 522390, 522210",-5,,,,3.0
L.TO,Elimination,,-5,,,,3.0
WN.TO,Weston Foods,"311813, 311812",-5,,,,4.0
WN.TO,Other,,-5,,,,4.0
WN.TO,Loblaw,"456110, 522220, 445110",-5,,,,4.0
WN.TO,Choice Properties,"531120, 531110",-5,,,,4.0
MDLZ.OQ,North America,"311351, 311821, 311513, 311340",-5,,,,4.0
MDLZ.OQ,Europe,"311351, 311821, 311513, 311340",-5,,,,4.0
MDLZ.OQ,Latin America,"311351, 311821, 311513, 311340",-5,,,,4.0
MDLZ.OQ,AMEA,"311351, 311821, 311513, 311340",-5,,,,4.0
CP.TO,,,-5,,,,0.0
TRP.TO,Power and Energy Solutions,"221210, 221112",-5,,,,6.0
TRP.TO,Corporate,,-5,,,,6.0
TRP.TO,Liquid Pipelines,"486210, 486110, 213112",-5,,,,6.0
TRP.TO,Candaian Natural gas pipelines,"486210, 486110",-5,,,,6.0
TRP.TO,Mexico Natural Gas pipelines,486110,-5,,,,6.0
TRP.TO,U.S Natural gas pipelines,"486210, 486110",-5,,,,6.0
IMO.TO,Chemicals,325110,-5,,,,5.0
IMO.TO,Downstream,"486110, 324110",-5,,,,5.0
IMO.TO,Upstream,211120,-5,,,,5.0
IMO.TO,Corporated and Other,,-5,,,,5.0
IMO.TO,Intersegment Elimination,,-5,,,,5.0
ENB.TO,Liquids Pipelines,"486910, 486110",-5,,,,6.0
ENB.TO,Gas Distribution,"486210, 221210",-5,,,,6.0
ENB.TO,Gas Tranmission & midstream,"486910, 486210",-5,,,,6.0
ENB.TO,Energy Services,"541614, 486210, 221210",-5,,,,6.0
ENB.TO,Renewable power Generation and Transmission,"221118, 221115, 221121",-5,,,,6.0
ENB.TO,Elimination and Others,,-5,,,,6.0
HKLD.SI,Investment Property,"531312, 531120",-5,,,,3.0
HKLD.SI,Development Property,"531311, 531110, 236220, 236117",-5,,,,3.0
