Unnamed: 0,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentCode,year,Instrument,Segment Name,Segment Code,number of segments
BRKa.N,,,-6,,,,
GE.N,,,-6,,,,
MMM.N,,,-6,,,,
TECK.N,,,-6,,,,
WMT.N,,,-6,,,,
CLB.N,,,-6,,,,
XOM.N,,,-6,,,,
SAP.TO,,,-6,,,,
IGM.TO,,,-6,,,,
L.TO,,,-6,,,,
WN.TO,,,-6,,,,
MDLZ.OQ,,,-6,,,,
CP.TO,,,-6,,,,
TRP.TO,,,-6,,,,
IMO.TO,,,-6,,,,
ENB.TO,,,-6,,,,
HKLD.SI,,,-6,,,,
CNR.TO,,,-6,,,,
SU.TO,,,-6,,,,
HON.OQ,,,-6,,,,
ADM.N,,,-6,,,,
CSX.OQ,,,-6,,,,
CPB.N,,,-6,,,,
FLR.N,,,-6,,,,
ROK.N,,,-6,,,,
UNP.N,,,-6,,,,
ATD.TO,,,-6,,,,
APD.N,,,-6,,,,
AB.N,,,-6,,,,
ABM.N,,,-6,,,,
ARE.TO,,,-6,,,,
ARCH.N,,,-6,,,,
MERC.OQ,,,-6,,,,
ATO.N,,,-6,,,,
BLX.TO,,,-6,,,,
MTZ.N,,,-6,,,,
TFII.TO,,,-6,,,,
CWT.N,,,-6,,,,
CASY.OQ,,,-6,,,,
CPSH.OQ,,,-6,,,,
CPK.N,,,-6,,,,
CTAS.OQ,,,-6,,,,
CLH.N,,,-6,,,,
CLF.N,,,-6,,,,
CMC.N,,,-6,,,,
CAG.N,,,-6,,,,
ED.N,,,-6,,,,
CXT.N,,,-6,,,,
VVI.N,,,-6,,,,
D.N,,,-6,,,,
DCI.N,,,-6,,,,
DY.N,,,-6,,,,
EMR.N,,,-6,,,,
EMPa.TO,,,-6,,,,
FMC.N,,,-6,,,,
RUS.TO,,,-6,,,,
ARG.TO,,,-6,,,,
FI.N,,,-6,,,,
FLO.N,,,-6,,,,
FCX.N,,,-6,,,,
GIS.N,,,-6,,,,
NVRI.N,,,-6,,,,
HCSG.OQ,,,-6,,,,
HTLD.OQ,,,-6,,,,
HSY.N,,,-6,,,,
DINO.N,,,-6,,,,
HRL.N,,,-6,,,,
HUBB.N,,,-6,,,,
JBHT.OQ,,,-6,,,,
