Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments
BRKa.N,Reconciliation,,0,,,,7.0
BRKa.N,Insurance Group,"524130, 524126",0,,,,7.0
BRKa.N,Service and Retailing,"449110, 611512",0,,,,7.0
BRKa.N,McLane Company,424410,0,,,,7.0
BRKa.N,BNSF,482111,0,,,,7.0
BRKa.N,Manufacturing businesses,333517,0,,,,7.0
BRKa.N,Berkshire Hathway Energy Company,"531210, 221122",0,,,,7.0
GE.N,Renewable Energy,"335311, 333611",0,,,,5.0
GE.N,Healthcare,"423450, 334510",0,,,,5.0
GE.N,Aviation,"336413, 336412",0,,,,5.0
GE.N,Corporate items,,0,,,,5.0
GE.N,Power,"335311, 213112",0,,,,5.0
MMM.N,Corporate and Unallocated,,0,,,,6.0
MMM.N,Health Care,"339114, 339113, 339112",0,,,,6.0
MMM.N,Elimination of Dual Credit,,0,,,,6.0
MMM.N,Consumer,"322230, 339113",0,,,,6.0
MMM.N,Transportation and Electronics,"811210, 423860",0,,,,6.0
MMM.N,Safety and Industrial,"334515, 327910, 325520",0,,,,6.0
TECK.N,Corporate,,0,,,,4.0
TECK.N,Steelmaking Coal,"212115, 212114",0,,,,4.0
TECK.N,Copper,212230,0,,,,4.0
TECK.N,Zinc,212230,0,,,,4.0
WMT.N,Walmart International,"458110, 455211, 455110, 445110",0,,,,3.0
WMT.N,Wal-Mart U.S.,"459999, 455110, 445110",0,,,,3.0
WMT.N,Sam's Club,"455211, 445110",0,,,,3.0
CLB.N,Reservoir Description,213112,0,,,,3.0
CLB.N,Production Enhancement,"541330, 213112",0,,,,3.0
CLB.N,Corporate and Other,,0,,,,3.0
XOM.N,Chemicals,"325211, 325110, 324110",0,,,,5.0
XOM.N,Corporate and financing,,0,,,,5.0
XOM.N,Upstream,211120,0,,,,5.0
XOM.N,Specialty Products,"325211, 324191",0,,,,5.0
XOM.N,Energy Products ,324110,0,,,,5.0
SAP.TO,,,0,,,,0.0
IGM.TO,Wealth Management,"523940, 523150, 523999",0,,,,4.0
IGM.TO,Strategic Investments and Other,"523940, 523150, 523999, 523910",0,,,,4.0
IGM.TO,Asset Management,"523940, 522299, 561499, 523999",0,,,,4.0
IGM.TO,Intersegment,,0,,,,4.0
L.TO,Retail,"458110, 456110, 445110",0,,,,3.0
L.TO,Financial services,"517810, 524210, 522390, 522210",0,,,,3.0
L.TO,Elimination,,0,,,,3.0
WN.TO,Other,,0,,,,3.0
WN.TO,Loblaw,"456110, 522220, 445110",0,,,,3.0
WN.TO,Choice Properties,"531120, 531110",0,,,,3.0
MDLZ.OQ,North America,"311351, 311821, 311513, 311340",0,,,,4.0
MDLZ.OQ,Europe,"311351, 311821, 311513, 311340",0,,,,4.0
MDLZ.OQ,Latin America,"311351, 311821, 311513, 311340",0,,,,4.0
MDLZ.OQ,AMEA,"311351, 311821, 311513, 311340",0,,,,4.0
CP.TO,Rail Transportation,,0,,,,1.0
TRP.TO,Power and Energy Solutions,"221210, 221112",0,,,,6.0
TRP.TO,Corporate,,0,,,,6.0
TRP.TO,Liquid Pipelines,"486210, 486110, 213112",0,,,,6.0
TRP.TO,Candaian Natural gas pipelines,"486210, 486110",0,,,,6.0
TRP.TO,Mexico Natural Gas pipelines,486110,0,,,,6.0
TRP.TO,U.S Natural gas pipelines,"486210, 486110",0,,,,6.0
IMO.TO,Chemicals,325110,0,,,,5.0
IMO.TO,Downstream,"486110, 324110",0,,,,5.0
IMO.TO,Upstream,211120,0,,,,5.0
IMO.TO,Corporated and Other,,0,,,,5.0
IMO.TO,Intersegment Elimination,,0,,,,5.0
ENB.TO,Liquids Pipelines,"486910, 486110",0,,,,6.0
ENB.TO,Gas Distribution,"486210, 221210",0,,,,6.0
ENB.TO,Gas Tranmission & midstream,"486910, 486210",0,,,,6.0
ENB.TO,Energy Services,"541614, 486210, 221210",0,,,,6.0
ENB.TO,Renewable power Generation and Transmission,"221118, 221115, 221121",0,,,,6.0
ENB.TO,Elimination and Others,,0,,,,6.0
HKLD.SI,Investment Property,"531312, 531120",0,,,,3.0
HKLD.SI,Development Property,"531311, 531110, 236220, 236117",0,,,,3.0
HKLD.SI,Corporate,,0,,,,3.0
CNR.TO,Network resources,,0,,,,1.0
SU.TO,Oil Sands,211120,0,,,,4.0
SU.TO,Corporate and Eliminations,,0,,,,4.0
SU.TO,Refining & Marketing,324110,0,,,,4.0
SU.TO,Exploration & production,"211130, 211120",0,,,,4.0
HON.OQ,Corporate and All Other,,0,,,,5.0
HON.OQ,Aerospace Systems,"513210, 336413, 336412",0,,,,5.0
HON.OQ,Performance Materials and Technologies,"325998, 325311, 325199",0,,,,5.0
HON.OQ,Safety and Productivity Solutions,"334513, 334511",0,,,,5.0
HON.OQ,Honeywell Building Technologies,517111,0,,,,5.0
ADM.N,Other,,0,,,,5.0
ADM.N,Eliminations,,0,,,,5.0
ADM.N,Carbohydrate Solutions,"325199, 311221, 311211",0,,,,5.0
ADM.N,Nutrition,"311224, 325613, 325199, 311942",0,,,,5.0
ADM.N,Ag Services and Oilseeds,"311224, 311225",0,,,,5.0
CSX.OQ,,,0,,,,0.0
CPB.N,Snacks,"311352, 311919, 311821, 311412",0,,,,2.0
CPB.N,Meals and Beverages,"311824, 311422, 311421",0,,,,2.0
FLR.N,Urban solutions,"236220, 213114",0,,,,4.0
FLR.N,Mission solutions,"921190, 562910, 541990",0,,,,4.0
FLR.N,Energy solutions,"541330, 486210, 213112",0,,,,4.0
FLR.N,other,,0,,,,4.0
ROK.N,Lifecycle Services,"513210, 334519",0,,,,3.0
ROK.N,Software & Control,513210,0,,,,3.0
ROK.N,Intelligent Devices,334290,0,,,,3.0
UNP.N,Railroad along with subsidaries and rail affiliates,482111,0,,,,1.0
ATD.TO,Road Transport Fuel,457110,0,,,,3.0
ATD.TO,Merchandise and Services,445131,0,,,,3.0
ATD.TO,Other,424720,0,,,,3.0
APD.N,Corporate and Other,,0,,,,5.0
APD.N,Middle East and India,"333413, 325120",0,,,,5.0
APD.N,Europe,"333413, 325120",0,,,,5.0
APD.N,Americas,"333413, 325120",0,,,,5.0
APD.N,Asia,"333413, 325120",0,,,,5.0
AB.N,,,0,,,,0.0
ABM.N,Business & Industry,"812930, 811111, 561720, 541330",0,,,,5.0
ABM.N,Technical Solutions,541330,0,,,,5.0
ABM.N,Aviation,"812930, 561720, 488119",0,,,,5.0
ABM.N,Education,"812930, 561720, 541330",0,,,,5.0
ABM.N,Manufacturing & Distribution,"561720, 541330",0,,,,5.0
ARE.TO,Other and eliminations,,0,,,,3.0
ARE.TO,Concessions,"561990, 561210",0,,,,3.0
ARE.TO,Construction,"237990, 237130, 237120, 236220",0,,,,3.0
ARCH.N,"Corporate, Other and Eliminations",,0,,,,3.0
ARCH.N,Thermal,212115,0,,,,3.0
ARCH.N,Metallurgical,212114,0,,,,3.0
MERC.OQ,Pulp,"221118, 561499, 325199, 322110",0,,,,4.0
MERC.OQ,Wood Products,"221118, 321999, 321114, 321113",0,,,,4.0
MERC.OQ,Corporate and other,,0,,,,4.0
MERC.OQ,Solid Wood,"423310, 321113",0,,,,4.0
ATO.N,Eliminations,,0,,,,3.0
ATO.N,Pipeline and Storage,486210,0,,,,3.0
ATO.N, Distribution,221210,0,,,,3.0
BLX.TO,Wind Power Stations,221115,0,,,,4.0
BLX.TO,Thermal Power Stations,"221118, 221122, 221112",0,,,,4.0
BLX.TO,Hydroelectric Power Stations,"221118, 221122, 221121, 221111",0,,,,4.0
BLX.TO,Solar Power Station,221114,0,,,,4.0
MTZ.N,Oil & Gas,"237120, 221210",0,,,,5.0
MTZ.N,Eliminations,,0,,,,5.0
MTZ.N,Communications,"541330, 237130",0,,,,5.0
MTZ.N,Clean Energy and Infrastructure,237130,0,,,,5.0
MTZ.N,Power delivery,"237120, 221122",0,,,,5.0
TFII.TO,Less than Truck Load,484122,0,,,,6.0
TFII.TO,Package & courier,492110,0,,,,6.0
TFII.TO,Truck Load,484121,0,,,,6.0
TFII.TO,Eliminations,,0,,,,6.0
TFII.TO,Corporate,,0,,,,6.0
TFII.TO,Logistics,"541614, 492110, 488510",0,,,,6.0
CWT.N,water and related utility services,,0,,,,1.0
CASY.OQ,Grocery & Other Merchandise,"445131, 445110",0,,,,4.0
CASY.OQ,Other,,0,,,,4.0
CASY.OQ,Prepared Food & Fountain,"445320, 445298",0,,,,4.0
CASY.OQ,Fuel,457110,0,,,,4.0
CPSH.OQ,POTTERY & RELATED PRODUCTS,,0,,,,1.0
