Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-7
000539.SZ,Other Operation,FY-7
000539.SZ,Steam Supply,FY-7
000539.SZ,Service Revenues,FY-7
000539.SZ,Electric Power Generation,FY-7
000629.SZ,Other,FY-7
000629.SZ,Mineral Products,FY-7
000629.SZ,Eliminations,FY-7
000629.SZ,Vanadium products,FY-7
000629.SZ,Titanium products,FY-7
000883.SZ,Hydroelectric Power,FY-7
000883.SZ,Natural Gas,FY-7
000883.SZ,Other,FY-7
000883.SZ,Thermal Power,FY-7
000883.SZ,Coal,FY-7
002060.SZ,Others,FY-7
002060.SZ,Other,FY-7
002060.SZ,Engineering Construction,FY-7
002060.SZ,Exploration design,FY-7
002060.SZ,Power,FY-7
002060.SZ,Product sales,FY-7
002545.SZ,Construction/Installation,FY-7
002545.SZ,Intercompany Elimination,FY-7
002545.SZ,Tower Manufacturing,FY-7
071320.KS,Cold Water,FY-7
071320.KS,Heat Segement,FY-7
071320.KS,Electricity Segment,FY-7
1811.HK,Management companies,FY-7
1811.HK,Power Plants in the Korea,FY-7
1811.HK,Power Plants in the Peoples Republic China,FY-7
2083.SE,,FY-7
2380.HK,Hydropower Electricity,FY-7
2380.HK,Others,FY-7
2380.HK,Coal Fired Electricity,FY-7
2380.HK,Wind Power Electricity,FY-7
300569.SZ,,FY-7
300772.SZ,,FY-7
3038.T,Super Business ,FY-7
3038.T,Kobe Cook Business,FY-7
3038.T,Eliminations and Corporate,FY-7
3038.T,Eco renewable energy,FY-7
3038.T,Cook Innoventure,FY-7
5110.SE,,FY-7
5711.T,Other Businesses,FY-7
5711.T,Eliminations and Corporate,FY-7
5711.T,Cement Business,FY-7
5711.T,Aluminum Business,FY-7
5711.T,Processing Business,FY-7
5711.T,Electronic Materials Business,FY-7
5711.T,Metal business,FY-7
600011.SS,Other divisions,FY-7
600011.SS,Overseas Power Division,FY-7
600011.SS,China Power Division,FY-7
600025.SS,Others,FY-7
600025.SS,Electricity,FY-7
600116.SS,Design and Installation,FY-7
600116.SS,Electricity,FY-7
600116.SS,Irrigation Products,FY-7
600116.SS,Other Business,FY-7
600116.SS,Steam Sale,FY-7
600116.SS,Eliminations,FY-7
600236.SS,Other,FY-7
600236.SS,Electric Power,FY-7
600409.SS,Electricity & Steam,FY-7
600409.SS,Chemical Industry,FY-7
600409.SS,Intercompany Elimination,FY-7
600409.SS,Other,FY-7
600409.SS,Mining,FY-7
600459.SS,,FY-7
600674.SS,Other Operations,FY-7
600674.SS,Electricity Industry,FY-7
600674.SS,Other Main,FY-7
600795.SS,Heat Energy Generation,FY-7
600795.SS,Others,FY-7
600795.SS,Coal Selling,FY-7
600795.SS,Chemical Products,FY-7
600795.SS,Hydroelectric Power Generation,FY-7
600795.SS,Intercompany Eliminations,FY-7
600886.SS,Others,FY-7
600886.SS,Other Business,FY-7
600886.SS,Electric Power,FY-7
600905.SS,,FY-7
600995.SS,Power Industry,FY-7
600995.SS,Design,FY-7
600995.SS,Eliminations,FY-7
601088.SS,Undistributed,FY-7
601088.SS,Harbor,FY-7
601088.SS,Railroad,FY-7
601088.SS,Shipping,FY-7
601088.SS,Coal,FY-7
601088.SS,Electric Power Generation,FY-7
601088.SS,Coal chemical,FY-7
6013.T,Eliminations and Corporate,FY-7
6013.T,Business Environment and Energy (Domestic),FY-7
