Instrument,Segment Name,year
000537.SZ,,FY5
000539.SZ,,FY5
000629.SZ,,FY5
000883.SZ,,FY5
002060.SZ,,FY5
002545.SZ,,FY5
071320.KS,,FY5
1811.HK,,FY5
2083.SE,,FY5
2380.HK,,FY5
300569.SZ,,FY5
300772.SZ,,FY5
3038.T,,FY5
5110.SE,,FY5
5711.T,,FY5
600011.SS,,FY5
600025.SS,,FY5
600116.SS,,FY5
600236.SS,,FY5
600409.SS,,FY5
600459.SS,,FY5
600674.SS,,FY5
600795.SS,,FY5
600886.SS,,FY5
600905.SS,,FY5
600995.SS,,FY5
601088.SS,,FY5
6013.T,,FY5
601778.SS,,FY5
601991.SS,,FY5
603212.SS,,FY5
6504.T,,FY5
6806.TW,,FY5
688599.SS,,FY5
8031.T,,FY5
9505.T,,FY5
9513.T,,FY5
9531.T,,FY5
A2.MI,,FY5
ACOx.TO,,FY5
ADAI.NS,,FY5
AEP.OQ,,FY5
AES.N,,FY5
AEV.PS,,FY5
ALS.TO,,FY5
AP.PS,,FY5
ARG.CN,,FY5
AVA.N,,FY5
AVNT.NS,,FY5
AWR.N,,FY5
AY.OQ,,FY5
BEPC.N,,FY5
BEP_u.TO,,FY5
BKH.N,,FY5
BN.N,,FY5
BP.L,,FY5
CBAV3.SA,,FY5
CMIG4.SA,,FY5
CMS.N,,FY5
CPFE3.SA,,FY5
CRBR.NS,,FY5
CSNA3.SA,,FY5
CU.TO,,FY5
DEHr.AT,,FY5
DUK.N,,FY5
EDP.LS,,FY5
ELE.MC,,FY5
ELET6.SA,,FY5
EMA.TO,,FY5
ENAE.WA,,FY5
ENEI.MI,,FY5
ENGIE.PA,,FY5
ENJSA.IS,,FY5
ENLT.TA,,FY5
EONGn.DE,,FY5
ETR.N,,FY5
EXC.OQ,,FY5
FGEN.PS,,FY5
FORTUM.HE,,FY5
FTEK.OQ,,FY5
FTS.TO,,FY5
GEG.HM,,FY5
GPSC.BK,,FY5
HARL.L,,FY5
HDG.HM,,FY5
HE.N,,FY5
HEGL.NS,,FY5
HOLMb.ST,,FY5
IBE.MC,,FY5
IDA.N,,FY5
IDC.HN,,FY5
LIGT3.SA,,FY5
MGEE.OQ,,FY5
MPLF.PSX,,FY5
NCLI.NS,,FY5
NEOE3.SA,,FY5
NLCI.NS,,FY5
NRG.N,,FY5
NTPC.NS,,FY5
ODAS.IS,,FY5
ORK.OL,,FY5
PAFO.NS,,FY5
PC1.HM,,FY5
PEG.N,,FY5
PGRD.NS,,FY5
PIF.TO,,FY5
PTCI.NS,,FY5
RATCH.BK,,FY5
RITS.NS,,FY5
ROH2O.BX,,FY5
RWEG.DE,,FY5
SHEL.L,,FY5
SO.N,,FY5
SPI.OQ,,FY5
SRG.MI,,FY5
SSE.L,,FY5
SVT.L,,FY5
SXC.N,,FY5
TA.TO,,FY5
TCIL.NS,,FY5
TTPW.NS,,FY5
UN01.DE,,FY5
UNACEMC1.LM,,FY5
VERB.VI,,FY5
XEL.OQ,,FY5
