Instrument,year,has ren segment,number of segments
000537.SZ,0,False,1
000539.SZ,0,False,1
000629.SZ,0,False,5
000629.SZ,0,False,5
000629.SZ,0,False,5
000629.SZ,0,True,5
000629.SZ,0,False,5
000883.SZ,0,True,6
000883.SZ,0,False,6
000883.SZ,0,False,6
000883.SZ,0,False,6
000883.SZ,0,True,6
000883.SZ,0,False,6
002060.SZ,0,False,5
002060.SZ,0,False,5
002060.SZ,0,False,5
002060.SZ,0,False,5
002060.SZ,0,False,5
002545.SZ,0,False,5
002545.SZ,0,False,5
002545.SZ,0,False,5
002545.SZ,0,False,5
002545.SZ,0,False,5
071320.KS,0,True,3
071320.KS,0,False,3
071320.KS,0,False,3
1811.HK,0,True,3
1811.HK,0,False,3
1811.HK,0,False,3
2083.SE,0,False,7
2083.SE,0,False,7
2083.SE,0,False,7
2083.SE,0,False,7
2083.SE,0,False,7
2083.SE,0,False,7
2083.SE,0,False,7
2380.HK,0,True,5
2380.HK,0,False,5
2380.HK,0,False,5
2380.HK,0,True,5
2380.HK,0,True,5
300569.SZ,0,False,3
300569.SZ,0,False,3
300569.SZ,0,False,3
300772.SZ,0,True,4
300772.SZ,0,False,4
300772.SZ,0,False,4
300772.SZ,0,False,4
3038.T,0,False,5
3038.T,0,False,5
3038.T,0,True,5
3038.T,0,False,5
3038.T,0,False,5
5110.SE,0,False,4
5110.SE,0,False,4
5110.SE,0,False,4
5110.SE,0,True,4
5711.T,0,False,6
5711.T,0,False,6
5711.T,0,False,6
5711.T,0,False,6
5711.T,0,False,6
5711.T,0,False,6
600011.SS,0,False,3
600011.SS,0,False,3
600011.SS,0,False,3
600025.SS,0,False,2
600025.SS,0,False,2
600116.SS,0,False,4
600116.SS,0,False,4
600116.SS,0,False,4
600116.SS,0,False,4
600236.SS,0,True,6
600236.SS,0,False,6
600236.SS,0,False,6
600236.SS,0,True,6
600236.SS,0,False,6
600236.SS,0,True,6
600409.SS,0,False,5
600409.SS,0,False,5
600409.SS,0,False,5
600409.SS,0,False,5
600409.SS,0,False,5
600459.SS,0,False,0
600674.SS,0,True,5
600674.SS,0,False,5
600674.SS,0,False,5
600674.SS,0,False,5
600674.SS,0,False,5
600795.SS,0,False,6
600795.SS,0,False,6
600795.SS,0,False,6
600795.SS,0,True,6
600795.SS,0,False,6
600795.SS,0,True,6
600886.SS,0,False,4
600886.SS,0,False,4
600886.SS,0,True,4
