Instrument,Segment Name,Segment Code,Revenue,year
ICRA.NS,"Rating, research and other Services",561450,49078724.4401168,FY0
ICRA.NS,Consulting Services,"541611,561450",,FY0
ICRA.NS,Knowledge services,561110,,FY0
ICRA.NS,Market services,541910,,FY0
ICRA.NS,Segment Total,SEGMTL,,FY0
ICRA.NS,Eliminations,ICELIM,,FY0
ICRA.NS,Consolidated Total,CONSTL,,FY0
DEHB.KL,Offshore TMS,213112,223677954.545455,FY0
DEHB.KL,Marine Charter,"213112,483111",,FY0
DEHB.KL,Segment Total,SEGMTL,,FY0
DEHB.KL,Elimination,ICELIM,,FY0
DEHB.KL,Consolidated Total,CONSTL,,FY0
BTPN.JK,,,,FY0
PVD.HM,Commerce,532412,230055256.832698,FY0
PVD.HM,Drilling Oil and Gas Well,213111,,FY0
PVD.HM,Support Activities for Oil and Gas Operation,213112,,FY0
PVD.HM,Segment Total,SEGMTL,,FY0
PVD.HM,Consolidated Total,CONSTL,,FY0
ESSO.BK,Downstream,"324110,424720,457110",7598969517.4805,FY0
ESSO.BK,Petrochemicals,"324110,424720",,FY0
ESSO.BK,Segment Total,SEGMTL,,FY0
ESSO.BK,Eliminations,ICELIM,,FY0
ESSO.BK,Consolidated Total,CONSTL,,FY0
PALTEL.PL,Digital Services,517111,435995765.702188,FY0
PALTEL.PL,Investment,517111,,FY0
PALTEL.PL,Communications,517112,,FY0
PALTEL.PL,Real Estate,OTHERS,,FY0
PALTEL.PL,Segment Total,SEGMTL,,FY0
PALTEL.PL,Eliminations,ICELIM,,FY0
PALTEL.PL,Consolidated Total,CONSTL,,FY0
TTKOM.IS,Land Line,517111,2570714564.72766,FY0
TTKOM.IS,GSM,517112,,FY0
TTKOM.IS,Segment Total,SEGMTL,,FY0
TTKOM.IS,Eliminations,ICELIM,,FY0
TTKOM.IS,Consolidated Total,CONSTL,,FY0
PTT.BK,Upsteam petroleum and natural gas-Natural Gas,"211120,221210,486210",97289878689.6851,FY0
PTT.BK,Downstream petroleum-Oil,"211120,324191",,FY0
PTT.BK,Downstream petroleum-International Trading,424720,,FY0
PTT.BK,Upsteam petroleum and natural gas-Coal,"212115,324199",,FY0
PTT.BK,Upsteam petroleum and natPetroleum and Exploration Productio,211120,,FY0
PTT.BK,Downstream petroleum-Petrochemicals and Refining,324110,,FY0
PTT.BK,New business and Infrastructure,"237120,531390,541614",,FY0
PTT.BK,Segment Total,SEGMTL,,FY0
PTT.BK,Elimination,ICELIM,,FY0
PTT.BK,Other,EXPOTH,,FY0
PTT.BK,Consolidated Total,CONSTL,,FY0
BOUK.KW,,,,FY0
ASTL.NS,Plumbing,OTHERS,627860272.638754,FY0
ASTL.NS,Paints and Adhesives,OTHERS,,FY0
ASTL.NS,Segment Total,SEGMTL,,FY0
ASTL.NS,Consolidated Total,CONSTL,,FY0
SATS.SI,Food Solutions,"722320,812320",1321455734.25522,FY0
SATS.SI,Gateway Services,"488119,488190,488320",,FY0
SATS.SI,Segment Total,SEGMTL,,FY0
SATS.SI,Others,EXPOTH,,FY0
SATS.SI,Consolidated Total,CONSTL,,FY0
SABINA.BK,,,91527283.1551575,FY0
TGIB.KL,Plastic and petroleum products,"326112,424610",315118863.636364,FY0
TGIB.KL,"Food, Beverage and other consumable products","311920,311999,424490,424820",,FY0
TGIB.KL,Others,551112,,FY0
TGIB.KL,Segment Total,SEGMTL,,FY0
TGIB.KL,Consolidated Total,CONSTL,,FY0
VTRX.KL,,,170511136.363636,FY0
TTW.BK,,,164446665.125686,FY0
INED.NS,Recruitment solutions,"519290,561311,561312",285502799.415774,FY0
INED.NS,99acres for real estate,"519290,531210,531390",,FY0
INED.NS,Others,"519290,611710,624190",,FY0
INED.NS,Segment Total,SEGMTL,,FY0
INED.NS,Consolidated Total,CONSTL,,FY0
BJFS.NS,Insurance,"524113,524114,524126",,FY0
BJFS.NS,Windmill,221118,,FY0
BJFS.NS,Retail Financing,522291,,FY0
BJFS.NS,Investment and Others,523940,,FY0
BJFS.NS,Segment Total,SEGMTL,,FY0
BJFS.NS,Intersegment revenue,ICELIM,,FY0
BJFS.NS,Consolidated Total,CONSTL,,FY0
BAJA.NS,Automotive,"336110,336991",4422339337.87731,FY0
BAJA.NS,Investments,523910,,FY0
BAJA.NS,Segment Total,SEGMTL,,FY0
BAJA.NS,Consolidated Total,CONSTL,,FY0
GMD.HM,Port Exploitation Services,488310,165109852.120712,FY0
