Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2469562568.11071,21.9834263653577,1.52575734634692,1.63058037014174,,4.66,3954343605.0852,178137693.0,9802903713.42528,49055021.6262023,4479077561.2557,43.6936936936937,1445177468.68372,5017752727.35795,6769003620.8533,1445177468.68372,-7.9,4.65859146391224,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,327257473.040555,12.720910168474,227355465.527832,Austria,227355465.527832,411591791.041766,FY-2
XL.V,1496050.0,0.21209740769835,,,,,1538330.40848389,7252943.0,4541422.0,3529501.0,34156745.0,,31574307.0,-29615323.0,1958984.0,31574310.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,1434791.0,23.74702,-983334.0,Canada,-983334.0,22538.0,FY-2
ERF.TO,553739000.0,3.12647289866457,0.69353,0.80454,1.0807,,695789040.062843,222548000.0,1152418000.0,20737000.0,731453000.0,,385400000.0,420965000.0,806365000.0,385400000.0,,-92.0037384704754,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,218118000.0,24.28755,-45160000.0,Canada,-45160000.0,256481000.0,FY-2
WFRD.OQ,3685000000.0,,-4.669,,,-26.25,420104136.0,70000000.0,5434000000.0,,4497000000.0,,2614000000.0,907000000.0,3551000000.0,2614000000.0,,-101.452336942171,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,503000000.0,16.4794,99000000.0,United States of America,99000000.0,158000000.0,FY-2
EOG.N,11078931000.0,45.523437411,4.0158,4.34939,5.23784,4.05,29093083052.1499,583570585.0,35804601000.0,205266000.0,15502714000.0,,5816405000.0,20301887000.0,26118292000.0,5816405000.0,29.303,-2.8828539802358,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,3400353000.0,21.51151,457910000.0,United States of America,457910000.0,3464700000.0,FY-2
1313.TW,1847438610.86376,0.683882457702582,0.060617306169462,,,9.376,911169155.989314,1292348000.0,1574377097.06144,9311845.70997504,685518646.482636,60.5507893380561,508427319.67943,888858450.578807,1397285770.25824,508427319.67943,,9.37618262381597,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,65672121.1298087,20.57891,77242270.5345578,Taiwan,77242270.5345578,31218557.0420792,FY-2
EPGRQ.PK,,0.0022,,,,-87.26,34558.9002,15579354.0,199973000.0,615000.0,156698000.0,,60516000.0,33116000.0,103788000.0,46465650.0,,-40.9852248636577,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,482000.0,,-12515000.0,United States of America,-12515000.0,12471068.0,FY-2
CAMB.BR,203892281.387396,29.3926738760364,,,,,43966780.6546165,1500000.0,78323155.8378114,294497.756439571,34953590.6204201,94.2887931034483,12539081.5828041,43369565.2173913,55908646.8001954,12539081.5828041,,7.84203261879947,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,3713182.95231754,24.10033,4490520.05361734,Belgium,4490520.05361734,9816591.88131904,FY-2
EQT.N,2658629000.0,12.71,0.3934,0.57823,-0.06084,-0.53,3502861091.17,278345000.0,18113469000.0,259268000.0,8850739000.0,,4925466000.0,9255240000.0,14188196000.0,4925466000.0,,-10.0614686275567,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,1419471000.0,22.0291,-807232000.0,United States of America,-807232000.0,1042231000.0,FY-2
RECT.BR,753398876.404494,13.0923302393747,0.875214215394339,1.15132934247837,1.16159161757559,23.92,729804717.147044,55416120.0,853391548.607719,3715465.88066203,444524914.509038,,102779677.576942,408005617.977528,511646311.675623,102779677.576942,,-2.68343925712624,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,53119176.7196584,19.32466,19240520.0873853,Belgium,19240520.0873853,32790841.2761223,FY-2
